359,Hawaiian Kids
368,Team Kika Mana
426,Zombie Apocalypse Task Force
1378,Hilo Viking Robotics
1661,Griffitrons
2090,Buff 'n Blue
2437,Lancer Robotics
2438,'Iobotics
2441,Spartechs
2443,Blue Thunder
2444,Kamehameha RoboWarriors
2445,RoboKAP
2465,Kauaibots
2477,Marauder Rascals
2504,The Governors
2853,Hot Spot Robotics
2896,MechaMonarchs
3008,Team Magma
3721,Charger Robotics
3800,Mustangs
3880,Tiki Techs
3882,Lunas
4253,Raid Zero
4270,Crusaders
5851,Striking Vikings
6308,SPCS - Hafabots
6704,Hephaestus
7130,Mid Pacific Owl Robotics
7498,Future Shock
7548,Wingus & Dingus
7724,Le Jardin Academy
7898,Molokai Robotics
8025,Navigator Robotics
8231,BWW
